"pais";"moeda_en";"moeda_pt";"moeda_es";"cod_moeda";"num_moeda";
"NEW ZEALAND";"New Zealand Dollar";"Dólar da Nova Zelândia";"Dólar de la Islas Cook";"NZD";554;
"NIUE";"New Zealand Dollar";"Dólar da Nova Zelândia";"Dólar neozelandés";"NZD";554;
"PITCAIRN";"New Zealand Dollar";"Dólar da Nova Zelândia";"Dólar neozelandés";"NZD";554;
"TOKELAU";"New Zealand Dollar";"Dólar da Nova Zelândia";"Dólar neozelandés";"NZD";554;
"NICARAGUA";"Cordoba Oro";"Dólar da Nova Zelândia";"Dólar neozelandés";"NZD";554;
"NIGERIA";"Naira";"Cordoba Oro";"Córdoba oro";"NIO";558;
"BOUVET ISLAND";"Norwegian Krone";"Naira";"Naira";"NGN";566;
"NORWAY";"Norwegian Krone";"Coroa norueguesa";"Corona noruega";"NOK";578;
"SVALBARD AND JAN MAYEN";"Norwegian Krone";"Coroa norueguesa";"Corona noruega";"NOK";578;
"PAKISTAN";"Pakistan Rupee";"Coroa norueguesa";"Corona noruega";"NOK";578;
"PANAMA";"Balboa";"Rupia do Paquistão";"Rupia pakistaní";"PKR";586;
"PAPUA NEW GUINEA";"Kina";"Balboa";"Balboa";"PAB";590;
"PARAGUAY";"Guarani";"Kina";"Kina";"PGK";598;
"PERU";"Nuevo Sol";"Guarani";"Guaraní";"PYG";600;
"PHILIPPINES (THE)";"Philippine Peso";"Nuevo Sol";"Nuevo Sol";"PEN";604;
"QATAR";"Qatari Rial";"Peso filipino";"Peso filipino";"PHP";608;
"RUSSIAN FEDERATION (THE)";"Russian Ruble";"Qatari Rial";"Riyal catarí";"QAR";634;
"RWANDA";"Rwanda Franc";"rublo russo";"Rublo ruso";"RUB";643;
"SAINT HELENA";" ASCENSION AND TRISTAN DA CUNHA";"Rwanda Franc";"Franco ruandés";"RWF";646;
"SAUDI ARABIA";"Saudi Riyal";" ASCENSION E TRISTAN DA CUNHA";"Libra de Santa Helena";"SHP";654;
"SEYCHELLES";"Seychelles Rupee";"Dobra";"Dobra";"STD";678;
"SIERRA LEONE";"Leone";"Rial saudita";"Riyal saudí";"SAR";682;
"SINGAPORE";"Singapore Dollar";"Rúpia das Seychelles";"Rupia de Seychelles";"SCR";690;
"VIET NAM";"Dong";"Leone";"Leone";"SLL";694;
"SOMALIA";"Somali Shilling";"Dólar de Singapura";"Dólar de Singapur";"SGD";702;
"LESOTHO";"Rand";"Dong";"Dong";"VND";704;
"NAMIBIA";"Rand";"Shilling Somali";"Chelín somalí";"SOS";706;
"SOUTH AFRICA";"Rand";"Rand";"Rand";"ZAR";710;
"SOUTH SUDAN";"South Sudanese Pound";"Rand";"Rand";"ZAR";710;
"SWAZILAND";"Lilangeni";"Rand";"Rand";"ZAR";710;
"SWEDEN";"Swedish Krona";"Libra Sudanesa do Sul";"Libra sursudanesa";"SSP";728;
"LIECHTENSTEIN";"Swiss Franc";"Lilangeni";"Lilangeni";"SZL";748;
"SWITZERLAND";"Swiss Franc";"Swedish Krona";"Corona sueca";"SEK";752;
"SYRIAN ARAB REPUBLIC";"Syrian Pound";"Franco suíço";"Franco suizo";"CHF";756;
"THAILAND";"Baht";"Franco suíço";"Franco suizo";"CHF";756;
"TONGA";"Pa’anga";"Libra síria";"Libra siria";"SYP";760;
"TRINIDAD AND TOBAGO";"Trinidad and Tobago Dollar";"Baht";"Baht";"THB";764;
"UNITED ARAB EMIRATES (THE)";"UAE Dirham";"Pa’anga";"Pa’anga";"TOP";776;
"TUNISIA";"Tunisian Dinar";"Dólar de Trinidad e Tobago";"Dólar de Trinidad y Tobago";"TTD";780;
"UGANDA";"Uganda Shilling";"UAE Dirham";"Dirham DE EAU";"AED";784;
"MACEDONIA (THE FORMER YUGOSLAV REPUBLIC OF)";"Denar";"Dinar tunisino";"Dinar tunecino";"TND";788;
"EGYPT";"Egyptian Pound";"Xelim de Uganda";"Chelín ugandés";"UGX";800;
"GUERNSEY";"Pound Sterling";"Denar";"Dinar";"MKD";807;
"ISLE OF MAN";"Pound Sterling";"Libra egípcia";"Libra egipcia";"EGP";818;
"JERSEY";"Pound Sterling";"Libra esterlina";"Libra esterlina";"GBP";826;
